cell_tower_id,mobility_zone,handoff_zone_type,geographic_region,tower_vendor,latitude,longitude
CT-0001,URBAN,INTER-RAT,SOUTH,ZTE,29.73002,-95.266316
CT-0002,RURAL,INTRA-FREQ,WEST,ZTE,34.539371,-117.86561
CT-0003,URBAN,INTER-FREQ,EAST,Ericsson,40.834749,-74.080369
CT-0004,URBAN,INTRA-FREQ,SOUTH,Huawei,29.702191,-95.409405
CT-0005,RURAL,INTRA-FREQ,WEST,ZTE,33.599242,-119.477584
CT-0006,RURAL,INTER-RAT,NORTH,Ericsson,44.845502,-94.016777
CT-0007,URBAN,EMERGENCY,CENTRAL,Huawei,42.185137,-86.510241
CT-0008,URBAN,INTER-FREQ,CENTRAL,Nokia,41.956218,-87.434049
CT-0009,URBAN,INTRA-FREQ,EAST,Nokia,40.825938,-72.681058
CT-0010,URBAN,INTRA-FREQ,SOUTH,ZTE,29.732691,-95.239148
CT-0011,HIGHWAY,INTRA-FREQ,WEST,Nokia,33.716109,-118.591147
CT-0012,HIGHWAY,INTRA-FREQ,WEST,Nokia,35.84907,-119.26726
CT-0013,RURAL,INTER-RAT,WEST,Ericsson,33.184792,-119.624362
CT-0014,RURAL,INTRA-FREQ,SOUTH,Ericsson,29.365823,-95.313856
CT-0015,URBAN,INTRA-FREQ,EAST,ZTE,40.445076,-73.791243
CT-0016,URBAN,INTER-RAT,CENTRAL,Huawei,42.075279,-87.944636
CT-0017,URBAN,INTRA-FREQ,WEST,Ericsson,33.198599,-118.614139
CT-0018,RURAL,INTER-RAT,EAST,Nokia,40.501258,-74.573687
CT-0019,SUBURBAN,INTER-FREQ,SOUTH,Ericsson,29.6732,-94.800648
CT-0020,URBAN,INTRA-FREQ,WEST,Huawei,34.125849,-117.654517
CT-0021,URBAN,INTRA-FREQ,SOUTH,Nokia,29.580875,-95.219315
CT-0022,RURAL,INTER-FREQ,NORTH,Nokia,44.945118,-93.386287
CT-0023,SUBURBAN,INTER-FREQ,EAST,Samsung,39.573381,-74.590546
CT-0024,RURAL,INTRA-FREQ,CENTRAL,Ericsson,41.231803,-87.040681
CT-0025,SUBURBAN,INTER-RAT,NORTH,Huawei,45.223295,-93.209898
CT-0026,SUBURBAN,INTRA-FREQ,CENTRAL,Nokia,42.0258,-87.572504
CT-0027,SUBURBAN,INTER-FREQ,SOUTH,Huawei,29.611001,-94.762622
CT-0028,SUBURBAN,EMERGENCY,CENTRAL,Nokia,42.452611,-87.43253
CT-0029,URBAN,INTRA-FREQ,NORTH,Huawei,43.988881,-93.143889
CT-0030,SUBURBAN,INTER-FREQ,EAST,Ericsson,40.530977,-74.221037
CT-0031,URBAN,INTRA-FREQ,CENTRAL,Huawei,41.455605,-86.828576
CT-0032,URBAN,INTRA-FREQ,WEST,Huawei,34.471567,-117.809573
CT-0033,RURAL,INTRA-FREQ,WEST,Huawei,33.884792,-117.990075
CT-0034,SUBURBAN,INTER-FREQ,EAST,Ericsson,40.706305,-73.235469
CT-0035,URBAN,INTER-RAT,EAST,Nokia,41.408145,-73.53073
CT-0036,URBAN,EMERGENCY,WEST,Ericsson,33.929729,-117.125237
CT-0037,SUBURBAN,INTER-FREQ,WEST,Nokia,33.864793,-117.672326
CT-0038,URBAN,INTER-FREQ,CENTRAL,Huawei,41.929185,-88.056487
CT-0039,URBAN,INTRA-FREQ,WEST,Nokia,34.499571,-117.5332
CT-0040,SUBURBAN,INTER-FREQ,EAST,Nokia,40.802564,-73.546905
CT-0041,URBAN,INTER-RAT,SOUTH,Ericsson,29.116388,-94.731148
CT-0042,HIGHWAY,INTER-FREQ,WEST,Nokia,34.833149,-118.019186
CT-0043,URBAN,INTRA-FREQ,WEST,Samsung,33.256193,-119.350425
CT-0044,SUBURBAN,INTRA-FREQ,CENTRAL,Ericsson,42.223867,-88.255032
CT-0045,RURAL,INTRA-FREQ,NORTH,Nokia,44.624773,-93.585537
CT-0046,URBAN,INTRA-FREQ,EAST,Nokia,40.212847,-74.143226
CT-0047,RURAL,INTER-RAT,EAST,Nokia,41.316036,-73.37474
CT-0048,SUBURBAN,INTER-FREQ,WEST,Ericsson,34.330509,-118.830992
CT-0049,HIGHWAY,INTER-FREQ,CENTRAL,Ericsson,42.005357,-89.000297
CT-0050,URBAN,INTER-FREQ,CENTRAL,Samsung,41.630044,-88.117432
CT-0051,URBAN,INTRA-FREQ,EAST,Huawei,41.169537,-74.502502
CT-0052,HIGHWAY,INTRA-FREQ,EAST,Huawei,41.777011,-74.459299
CT-0053,RURAL,INTRA-FREQ,WEST,Nokia,34.000507,-118.781662
CT-0054,RURAL,INTER-FREQ,EAST,Ericsson,41.604374,-74.279574
CT-0055,URBAN,EMERGENCY,SOUTH,Nokia,30.283735,-95.52232
CT-0056,URBAN,INTER-RAT,CENTRAL,Ericsson,41.284747,-86.938791
CT-0057,URBAN,INTRA-FREQ,WEST,Nokia,33.498952,-118.264862
CT-0058,URBAN,INTRA-FREQ,SOUTH,Ericsson,29.437514,-94.491641
CT-0059,SUBURBAN,INTER-RAT,SOUTH,Nokia,30.174359,-94.968606
CT-0060,SUBURBAN,INTER-FREQ,WEST,ZTE,34.179769,-118.369166
CT-0061,SUBURBAN,INTER-RAT,EAST,Ericsson,40.824985,-74.568983
CT-0062,SUBURBAN,INTER-FREQ,WEST,Ericsson,33.927851,-118.380268
CT-0063,RURAL,INTER-FREQ,CENTRAL,Ericsson,42.591716,-88.062978
CT-0064,URBAN,INTRA-FREQ,NORTH,Ericsson,45.002121,-93.501267
CT-0065,RURAL,INTRA-FREQ,NORTH,Nokia,45.670702,-92.440695
CT-0066,SUBURBAN,INTER-RAT,EAST,Huawei,41.165816,-73.442897
CT-0067,URBAN,INTRA-FREQ,CENTRAL,Ericsson,42.249477,-87.631746
CT-0068,HIGHWAY,INTRA-FREQ,CENTRAL,Ericsson,42.061416,-88.001792
CT-0069,SUBURBAN,INTRA-FREQ,WEST,Nokia,33.609643,-118.269564
CT-0070,HIGHWAY,INTER-FREQ,EAST,Ericsson,41.53048,-73.931897
CT-0071,URBAN,INTER-FREQ,NORTH,Nokia,44.027415,-92.839774
CT-0072,SUBURBAN,INTRA-FREQ,SOUTH,Nokia,30.050469,-95.855896
CT-0073,SUBURBAN,EMERGENCY,CENTRAL,Huawei,41.141129,-87.966438
CT-0074,RURAL,EMERGENCY,NORTH,Huawei,45.238363,-93.227469
CT-0075,RURAL,INTRA-FREQ,EAST,Ericsson,40.607624,-73.202903
CT-0076,SUBURBAN,INTER-RAT,NORTH,Huawei,44.188144,-92.782543
CT-0077,SUBURBAN,EMERGENCY,CENTRAL,Ericsson,43.046431,-87.619631
CT-0078,RURAL,INTER-FREQ,EAST,ZTE,41.188918,-74.232847
CT-0079,SUBURBAN,INTER-FREQ,WEST,Ericsson,35.256493,-118.379074
CT-0080,SUBURBAN,INTER-FREQ,SOUTH,Nokia,29.447558,-95.152612
